PLZ,Ort,Gemeinde,Kanton
1196,Gland,Gland,VD
1197,Prangins,Prangins,VD
1204,"Genève","Genève",GE
1212,Grand-Lancy,Lancy,GE
1213,Onex,Onex,GE
1213,Petit-Lancy,Lancy,GE
1214,Vernier,Vernier,GE
1215,"Genève 15 Aéroport",Meyrin,GE
1216,Cointrin,Meyrin,GE
1217,Meyrin,Meyrin,GE
1218,"Le Grand-Saconnex","Le Grand-Saconnex",GE
1219,"Aïre",Vernier,GE
1219,"Châtelaine",Vernier,GE
1219,"Le Lignon",Vernier,GE
1220,"Les Avanchets",Vernier,GE
1222,"Vésenaz",Collonge-Bellerive,GE
1223,Cologny,Cologny,GE
1224,"Chêne-Bougeries","Chêne-Bougeries",GE
1225,"Chêne-Bourg","Chêne-Bourg",GE
1226,"Thônex","Thônex",GE
1227,"Carouge GE","Carouge (GE)",GE
1227,"Les Acacias","Genève",GE
1228,Plan-les-Ouates,Plan-les-Ouates,GE
1231,Conches,"Chêne-Bougeries",GE
1232,Confignon,Confignon,GE
1233,Bernex,Bernex,GE
1234,Vessy,Veyrier,GE
1236,Cartigny,Cartigny,GE
1237,Avully,Avully,GE
1239,Collex,Collex-Bossy,GE
1241,Puplinge,Puplinge,GE
1242,Satigny,Satigny,GE
1243,Presinge,Presinge,GE
1244,Choulex,Choulex,GE
1245,Collonge-Bellerive,Collonge-Bellerive,GE
1246,"Corsier GE","Corsier (GE)",GE
1247,"Anières","Anières",GE
1248,Hermance,Hermance,GE
1251,Gy,Gy,GE
1252,Meinier,Meinier,GE
1253,Vandoeuvres,Vandoeuvres,GE
1254,Jussy,Jussy,GE
1255,Veyrier,Veyrier,GE
1256,Troinex,Troinex,GE
1257,"La Croix-de-Rozon",Bardonnex,GE
1258,Perly,Perly-Certoux,GE
1260,Nyon,Nyon,VD
1261,"Le Vaud","Le Vaud",VD
1261,Longirod,Longirod,VD
1261,Marchissy,Marchissy,VD
1262,Eysins,Eysins,VD
1263,Crassier,Crassier,VD
1264,St-Cergue,Saint-Cergue,VD
1265,"La Cure",Saint-Cergue,VD
1266,Duillier,Duillier,VD
1267,Coinsins,Coinsins,VD
1267,Vich,Vich,VD
1268,Begnins,Begnins,VD
1268,Burtigny,Burtigny,VD
1269,Bassins,Bassins,VD
1270,"Trélex","Trélex",VD
1271,Givrins,Givrins,VD
1272,Genolier,Genolier,VD
1273,"Arzier-Le Muids","Arzier-Le Muids",VD
1274,Grens,Grens,VD
1274,Signy,Signy-Avenex,VD
1275,"Chéserex","Chéserex",VD
1276,Gingins,Gingins,VD
1277,Arnex-sur-Nyon,Arnex-sur-Nyon,VD
1277,Borex,Borex,VD
1278,"La Rippe","La Rippe",VD
1279,Bogis-Bossey,Bogis-Bossey,VD
1279,Chavannes-de-Bogis,Chavannes-de-Bogis,VD
1281,Russin,Russin,GE
1283,Dardagny,Dardagny,GE
1283,"La Plaine",Dardagny,GE
1284,Chancy,Chancy,GE
1285,"Athenaz (Avusy)",Avusy,GE
1286,Soral,Soral,GE
1287,Laconnex,Laconnex,GE
1288,Aire-la-Ville,Aire-la-Ville,GE
1290,Chavannes-des-Bois,Chavannes-des-Bois,VD
1290,Versoix,Versoix,GE
1291,Commugny,Commugny,VD
1292,"Chambésy","Pregny-Chambésy",GE
1293,Bellevue,Bellevue,GE
1294,Genthod,Genthod,GE
1295,Mies,Mies,VD
1295,Tannay,Tannay,VD
1296,Coppet,Coppet,VD
1297,Founex,Founex,VD
1298,"Céligny","Céligny",GE
1299,"Crans VD","Crans (VD)",VD
1302,Vufflens-la-Ville,Vufflens-la-Ville,VD
1303,Penthaz,Penthaz,VD
1304,Allens,Cossonay,VD
1304,Cossonay-Ville,Cossonay,VD
1304,Dizy,Dizy,VD
1304,Senarclens,Senarclens,VD
1305,Penthalaz,Penthalaz,VD
1306,Daillens,Daillens,VD
1307,Lussery-Villars,Lussery-Villars,VD
1308,"La Chaux (Cossonay)","La Chaux (Cossonay)",VD
1312,"Eclépens","Eclépens",VD
1313,Ferreyres,Ferreyres,VD
1315,"La Sarraz","La Sarraz",VD
1316,Chevilly,Chevilly,VD
1317,Orny,Orny,VD
1318,Pompaples,Pompaples,VD
1321,Arnex-sur-Orbe,Arnex-sur-Orbe,VD
1322,Croy,Croy,VD
1323,"Romainmôtier","Romainmôtier-Envy",VD
1324,Premier,Premier,VD
1325,Vaulion,Vaulion,VD
1326,Juriens,Juriens,VD
1329,"Bretonnières","Bretonnières",VD
1337,Vallorbe,Vallorbe,VD
1338,Ballaigues,Ballaigues,VD
1341,"L'Orient","Le Chenit",VD
1342,"Le Pont","L'Abbaye",VD
1343,"Les Charbonnières","Le Lieu",VD
1344,"L'Abbaye","L'Abbaye",VD
1345,"Le Lieu","Le Lieu",VD
1345,"Le Séchey","Le Lieu",VD
1346,"Les Bioux","L'Abbaye",VD
1347,"Le Sentier","Le Chenit",VD
1347,"Le Solliat","Le Chenit",VD
1348,"Le Brassus","Le Chenit",VD
1350,Orbe,Orbe,VD
1352,Agiez,Agiez,VD
1353,Bofflens,Bofflens,VD
1354,Montcherand,Montcherand,VD
1355,"L'Abergement","L'Abergement",VD
1355,Sergey,Sergey,VD
1356,"La Russille","Les Clées",VD
1356,"Les Clées","Les Clées",VD
1357,Lignerolle,Lignerolle,VD
1358,Valeyres-sous-Rances,Valeyres-sous-Rances,VD
1372,Bavois,Bavois,VD
1373,Chavornay,Chavornay,VD
1374,Corcelles-sur-Chavornay,Chavornay,VD
1375,"Penthéréaz","Penthéréaz",VD
1376,Eclagnens,"Goumoëns",VD
1376,Goumoens-la-Ville,"Goumoëns",VD
1376,Goumoens-le-Jux,"Goumoëns",VD
1377,Oulens-sous-Echallens,Oulens-sous-Echallens,VD
1400,"Cheseaux-Noréaz","Cheseaux-Noréaz",VD
1400,Yverdon-les-Bains,Yverdon-les-Bains,VD
1404,Cuarny,Cuarny,VD
1404,Villars-Epeney,Villars-Epeney,VD
1405,Pomy,Pomy,VD
1406,Cronay,Cronay,VD
1407,Bioley-Magnoux,Bioley-Magnoux,VD
1407,Donneloye,Donneloye,VD
1407,Gossens,Donneloye,VD
1407,"Mézery-près-Donneloye",Donneloye,VD
1408,Prahins,Donneloye,VD
1409,"Chanéaz",Montanaire,VD
1410,Correvon,Montanaire,VD
1410,Denezy,Montanaire,VD
1410,"Prévondavaux","Prévondavaux",FR
1410,St-Cierges,Montanaire,VD
1410,Thierrens,Montanaire,VD
1412,Ursins,Ursins,VD
1412,Valeyres-sous-Ursins,Valeyres-sous-Ursins,VD
1413,Orzens,Orzens,VD
1415,"Démoret","Démoret",VD
1415,Molondin,Molondin,VD
1416,Pailly,Pailly,VD
1417,Epautheyres,Essertines-sur-Yverdon,VD
1417,Essertines-sur-Yverdon,Essertines-sur-Yverdon,VD
1418,Vuarrens,Vuarrens,VD
1420,Fiez,Fiez,VD
1421,Fontaines-sur-Grandson,Fontaines-sur-Grandson,VD
1421,Grandevent,Grandevent,VD
1422,Grandson,Grandson,VD
1423,Fontanezier,"Tévenon",VD
1423,Romairon,"Tévenon",VD
1423,Vaugondry,"Tévenon",VD
1423,Villars-Burquin,"Tévenon",VD
1424,Champagne,Champagne,VD
1425,"Onnens VD","Onnens (VD)",VD
1426,Concise,Concise,VD
1426,"Corcelles-près-Concise","Corcelles-près-Concise",VD
1427,Bonvillars,Bonvillars,VD
1428,Mutrux,Mutrux,VD
1428,Provence,Provence,VD
1429,Giez,Giez,VD
1430,Orges,Orges,VD
1431,Novalles,Novalles,VD
1431,"Vugelles-La Mothe","Vugelles-La Mothe",VD
1432,Belmont-sur-Yverdon,Belmont-sur-Yverdon,VD
1432,Gressy,Yverdon-les-Bains,VD
1433,Suchy,Suchy,VD
1434,"Ependes VD","Ependes (VD)",VD
1435,Essert-Pittet,Chavornay,VD
1436,Chamblon,Chamblon,VD
1436,Treycovagnes,Treycovagnes,VD
1437,"Suscévaz","Suscévaz",VD
1438,Mathod,Mathod,VD
1439,Rances,Rances,VD
1441,Valeyres-sous-Montagny,Valeyres-sous-Montagny,VD
1442,"Montagny-près-Yverdon","Montagny-près-Yverdon",VD
1443,Champvent,Champvent,VD
1443,Essert-sous-Champvent,Champvent,VD
1443,Villars-sous-Champvent,Champvent,VD
1445,Vuiteboeuf,Vuiteboeuf,VD
1446,Baulmes,Baulmes,VD
1450,"La Sagne (Ste-Croix)",Sainte-Croix,VD
1450,"Le Château-de-Ste-Croix",Sainte-Croix,VD
1450,Ste-Croix,Sainte-Croix,VD
1452,"Les Rasses",Bullet,VD
1453,Bullet,Bullet,VD
1453,Mauborget,Mauborget,VD
1454,"L'Auberson",Sainte-Croix,VD
1454,"La Vraconnaz",Sainte-Croix,VD
1462,Yvonand,Yvonand,VD
1463,Rovray,Rovray,VD
1464,"Chavannes-le-Chêne","Chavannes-le-Chêne",VD
1464,"Chêne-Pâquier","Chêne-Pâquier",VD
1468,Cheyres,"Cheyres-Châbles",FR
1470,Bollion,"Lully (FR)",FR
1470,Estavayer-le-Lac,Estavayer,FR
1470,"Lully FR","Lully (FR)",FR
1470,Seiry,"Lully (FR)",FR
1473,"Châtillon FR","Châtillon (FR)",FR
1473,Font,Estavayer,FR
1474,"Châbles FR","Cheyres-Châbles",FR
1475,Autavaux,Estavayer,FR
1475,"Forel FR",Estavayer,FR
1475,Montbrelloz,Estavayer,FR
1482,"Cugy FR","Cugy (FR)",FR
1483,Frasses,"Les Montets",FR
1483,"Montet (Broye)","Les Montets",FR
1483,Vesin,"Cugy (FR)",FR
1484,Aumont,"Les Montets",FR
1484,Granges-de-Vesin,"Les Montets",FR
1485,Nuvilly,Nuvilly,FR
1486,Vuissens,Estavayer,FR
1489,Murist,Estavayer,FR
1509,Vucherens,Vucherens,VD
1510,Moudon,Moudon,VD
1510,Syens,Syens,VD
1512,Chavannes-sur-Moudon,Chavannes-sur-Moudon,VD
1513,Hermenches,Hermenches,VD
1513,Rossenges,Rossenges,VD
1514,Bussy-sur-Moudon,Bussy-sur-Moudon,VD
1515,Neyruz-sur-Moudon,Montanaire,VD
1515,Villars-le-Comte,Villars-le-Comte,VD
1521,Curtilles,Curtilles,VD
1522,Lucens,Lucens,VD
1522,Oulens-sur-Lucens,Lucens,VD
1523,"Granges-près-Marnand",Valbroye,VD
1524,Marnand,Valbroye,VD
1525,Henniez,Henniez,VD
1525,Seigneux,Valbroye,VD
1526,Cremin,Lucens,VD
1526,Forel-sur-Lucens,Lucens,VD
1527,"Villeneuve FR",Surpierre,FR
1528,Praratoud,Surpierre,FR
1528,Surpierre,Surpierre,FR
1529,Cheiry,Surpierre,FR
1530,Payerne,Payerne,VD
1532,"Fétigny","Fétigny",FR
1533,"Ménières","Ménières",FR
1534,"Chapelle (Broye)",Surpierre,FR
1534,Sassel,Valbroye,VD
1535,Combremont-le-Grand,Valbroye,VD
1536,Combremont-le-Petit,Valbroye,VD
1537,Champtauroz,Champtauroz,VD
1538,"Treytorrens (Payerne)","Treytorrens (Payerne)",VD
1541,"Bussy FR",Estavayer,FR
1541,"Morens FR",Estavayer,FR
1541,"Sévaz","Sévaz",FR
1542,"Rueyres-les-Prés",Estavayer,FR
1543,Grandcour,Grandcour,VD
1544,Gletterens,Gletterens,FR
1545,Chevroux,Chevroux,VD
1551,Vers-chez-Perrin,Payerne,VD
1552,Trey,Trey,VD
1553,"Châtonnaye","Châtonnaye",FR
1554,"Rossens VD",Villarzel,VD
1554,"Sédeilles",Villarzel,VD
1555,Villarzel,Villarzel,VD
1562,"Corcelles-près-Payerne","Corcelles-près-Payerne",VD
1563,"Dompierre FR",Belmont-Broye,FR
1564,Domdidier,Belmont-Broye,FR
1565,Missy,Missy,VD
1565,Vallon,Vallon,FR
1566,"Les Friques","Saint-Aubin (FR)",FR
1566,"St-Aubin FR","Saint-Aubin (FR)",FR
1567,Delley,Delley-Portalban,FR
1568,Portalban,Delley-Portalban,FR
1580,Avenches,Avenches,VD
1580,Donatyre,Avenches,VD
1580,Oleyres,Avenches,VD
1583,Villarepos,Courtepin,FR
1584,Villars-le-Grand,Vully-les-Lacs,VD
1585,"Bellerive VD",Vully-les-Lacs,VD
1585,Cotterd,Vully-les-Lacs,VD
1585,Salavaux,Vully-les-Lacs,VD
1586,Vallamand,Vully-les-Lacs,VD
1587,Constantine,Vully-les-Lacs,VD
1587,Montmagny,Vully-les-Lacs,VD
1588,Cudrefin,Cudrefin,VD
1589,Chabrey,Vully-les-Lacs,VD
1595,Clavaleyres,Clavaleyres,BE
1595,Faoug,Faoug,VD
1607,"Les Tavernes",Oron,VD
1607,"Les Thioleyres",Oron,VD
1607,"Palézieux",Oron,VD
1607,"Palézieux-Village",Oron,VD
1608,Bussigny-sur-Oron,Oron,VD
1608,"Chapelle (Glâne)","Chapelle (Glâne)",FR
1608,Chesalles-sur-Oron,Oron,VD
1608,"Oron-le-Châtel",Oron,VD
1609,Besencens,"Saint-Martin (FR)",FR
1609,"Fiaugères","Saint-Martin (FR)",FR
1609,"St-Martin FR","Saint-Martin (FR)",FR
1610,"Châtillens",Oron,VD
1610,Oron-la-Ville,Oron,VD
1610,Vuibroye,Oron,VD
1611,"Le Crêt-près-Semsales","La Verrerie",FR
1612,Ecoteaux,Oron,VD
1613,Maracon,Maracon,VD
1614,"Granges (Veveyse)","Granges (Veveyse)",FR
1615,Bossonnens,Bossonnens,FR
1616,Attalens,Attalens,FR
1617,Remaufens,Remaufens,FR
1617,Tatroz,Attalens,FR
1618,"Châtel-St-Denis","Châtel-Saint-Denis",FR
1619,"Les Paccots","Châtel-Saint-Denis",FR
1623,Semsales,Semsales,FR
1624,Grattavache,"La Verrerie",FR
1624,"La Verrerie","La Verrerie",FR
1624,Progens,"La Verrerie",FR
1625,Maules,"Sâles",FR
1625,"Sâles (Gruyère)","Sâles",FR
1626,Romanens,"Sâles",FR
1626,Rueyres-Treyfayes,"Sâles",FR
1626,Treyfayes,"Sâles",FR
1627,Vaulruz,Vaulruz,FR
1628,Vuadens,Vuadens,FR
1630,Bulle,Bulle,FR
1632,Riaz,Riaz,FR
1633,Marsens,Marsens,FR
1633,Vuippens,Marsens,FR
1634,"La Roche FR","La Roche",FR
1635,"La Tour-de-Trême",Bulle,FR
1636,Broc,Broc,FR
1637,"Charmey (Gruyère)",Val-de-Charmey,FR
1638,Morlon,Morlon,FR
1642,Sorens,Sorens,FR
1643,Gumefens,Pont-en-Ogoz,FR
1644,Avry-devant-Pont,Pont-en-Ogoz,FR
1645,"Le Bry",Pont-en-Ogoz,FR
1646,Echarlens,Echarlens,FR
1647,"Corbières","Corbières",FR
1648,Hauteville,Hauteville,FR
1649,Pont-la-Ville,Pont-la-Ville,FR
1651,Villarvolard,"Corbières",FR
1652,Botterens,Botterens,FR
1652,Villarbeney,Botterens,FR
1653,"Châtel-sur-Montsalvens","Châtel-sur-Montsalvens",FR
1653,"Crésuz","Crésuz",FR
1654,"Cerniat FR",Val-de-Charmey,FR
1656,"Im Fang",Jaun,FR
1656,Jaun,Jaun,FR
1657,"Abländschen",Saanen,BE
1658,"La Tine","Rossinière",VD
1658,"Rossinière","Rossinière",VD
1659,Flendruz,Rougemont,VD
1659,Rougemont,Rougemont,VD
1660,"Château-d'Oex","Château-d'Oex",VD
1660,"L'Etivaz","Château-d'Oex",VD
1660,"La Lécherette","Château-d'Oex",VD
1660,"Les Moulins","Château-d'Oex",VD
1661,"Le Pâquier-Montbarry","Le Pâquier (FR)",FR
1663,Epagny,"Gruyères",FR
1663,"Gruyères","Gruyères",FR
1663,"Moléson-sur-Gruyères","Gruyères",FR
1663,Pringy,"Gruyères",FR
1665,Estavannens,Bas-Intyamon,FR
1666,Grandvillard,Grandvillard,FR
1666,Villars-sous-Mont,Bas-Intyamon,FR
1667,Enney,Bas-Intyamon,FR
1669,Albeuve,Haut-Intyamon,FR
1669,"Les Sciernes-d'Albeuve",Haut-Intyamon,FR
1669,Lessoc,Haut-Intyamon,FR
1669,Montbovon,Haut-Intyamon,FR
1669,Neirivue,Haut-Intyamon,FR
1670,Bionnens,Ursy,FR
1670,Esmonts,Ursy,FR
1670,Ursy,Ursy,FR
1673,Auboranges,Auboranges,FR
1673,"Ecublens FR","Ecublens (FR)",FR
1673,Gillarens,Rue,FR
1673,Promasens,Rue,FR
1673,Rue,Rue,FR
1674,"Montet (Glâne)","Montet (Glâne)",FR
1674,Morlens,Ursy,FR
1674,Vuarmarens,Ursy,FR
1675,Blessens,Rue,FR
1675,Mossel,Ursy,FR
1675,Vauderens,Ursy,FR
1676,Chavannes-les-Forts,Siviriez,FR
1677,Prez-vers-Siviriez,Siviriez,FR
1678,Siviriez,Siviriez,FR
1679,Villaraboud,Siviriez,FR
1680,Berlens,"Mézières (FR)",FR
1680,"Romont FR","Romont (FR)",FR
1681,Billens,Billens-Hennens,FR
1681,Hennens,Billens-Hennens,FR
1682,"Cerniaz VD",Valbroye,VD
1682,"Dompierre VD","Dompierre (VD)",VD
1682,Lovatens,Lovatens,VD
1682,"Prévonloup","Prévonloup",VD
1682,Villars-Bramard,Valbroye,VD
1683,Brenles,Lucens,VD
1683,Chesalles-sur-Moudon,Lucens,VD
1683,Sarzens,Lucens,VD
1684,"Mézières FR","Mézières (FR)",FR
1685,Villariaz,Vuisternens-devant-Romont,FR
1686,"Grangettes-près-Romont",Grangettes,FR
1686,"La Neirigue",Vuisternens-devant-Romont,FR
1687,"Estévenens",Vuisternens-devant-Romont,FR
1687,"La Magne",Vuisternens-devant-Romont,FR
1687,Vuisternens-devant-Romont,Vuisternens-devant-Romont,FR
1688,Lieffrens,Vuisternens-devant-Romont,FR
1688,Sommentier,Vuisternens-devant-Romont,FR
1689,"Le Châtelard-près-Romont","Le Châtelard",FR
1690,"Lussy FR",Villaz,FR
1690,Villaz-St-Pierre,Villaz,FR
1691,Villarimboud,Villaz,FR
1692,Massonnens,Massonnens,FR
1694,Chavannes-sous-Orsonnens,Villorsonnens,FR
1694,Orsonnens,Villorsonnens,FR
1694,Villargiroud,Villorsonnens,FR
1694,Villarsiviriaux,Villorsonnens,FR
1695,Estavayer-le-Gibloux,Gibloux,FR
1695,Rueyres-St-Laurent,Gibloux,FR
1695,Villarlod,Gibloux,FR
1695,Villarsel-le-Gibloux,Gibloux,FR
1696,Vuisternens-en-Ogoz,Gibloux,FR
1697,"La Joux FR",Vuisternens-devant-Romont,FR
1697,"Les Ecasseys",Vuisternens-devant-Romont,FR
1699,Bouloz,"Le Flon",FR
1699,"Pont (Veveyse)","Le Flon",FR
1699,Porsel,"Le Flon",FR
1700,Fribourg,Fribourg,FR
1712,Tafers,Tafers,FR
1713,"St. Antoni",Tafers,FR
1714,Heitenried,Heitenried,FR
1715,"Alterswil FR",Tafers,FR
1716,Oberschrot,Plaffeien,FR
1716,Plaffeien,Plaffeien,FR
1716,Schwarzsee,Plaffeien,FR
1717,"St. Ursen","St. Ursen",FR
1718,Rechthalten,Rechthalten,FR
1719,"Brünisried","Brünisried",FR
1719,Zumholz,Plaffeien,FR
1720,"Chésopelloz",Corminboeuf,FR
1720,Corminboeuf,Corminboeuf,FR
1721,"Cormérod",Misery-Courtion,FR
1721,Cournillens,Misery-Courtion,FR
1721,Courtion,Misery-Courtion,FR
1721,Misery,Misery-Courtion,FR
1722,Bourguillon,Fribourg,FR
1723,Marly,Marly,FR
1723,Pierrafortscha,Pierrafortscha,FR
1723,Villarsel-sur-Marly,Villarsel-sur-Marly,FR
1724,Bonnefontaine,"Le Mouret",FR
1724,"Essert FR","Le Mouret",FR
1724,Ferpicloz,Ferpicloz,FR
1724,"Le Mouret","Le Mouret",FR
1724,"Montévraz","Le Mouret",FR
1724,"Oberried FR","Le Mouret",FR
1724,"Senèdes","Bois-d'Amont",FR
1724,"Zénauva","Le Mouret",FR
1725,Posieux,"Hauterive (FR)",FR
1726,Farvagny-le-Grand,Gibloux,FR
1726,Farvagny-le-Petit,Gibloux,FR
1726,Grenilles,Gibloux,FR
1726,Posat,Gibloux,FR
1727,Corpataux,Gibloux,FR
1727,Magnedens,Gibloux,FR
1728,"Rossens FR",Gibloux,FR
1730,Ecuvillens,"Hauterive (FR)",FR
1731,"Ependes FR","Bois-d'Amont",FR
1732,Arconciel,"Bois-d'Amont",FR
1733,Treyvaux,Treyvaux,FR
1734,Tentlingen,Tentlingen,FR
1735,Giffers,Giffers,FR
1736,"St. Silvester","St. Silvester",FR
1737,Plasselb,Plasselb,FR
1738,Sangernboden,Guggisberg,BE
1740,"Neyruz FR","Neyruz (FR)",FR
1741,"Cottens FR","Cottens (FR)",FR
1742,Autigny,Autigny,FR
1744,"Chénens","Chénens",FR
1745,Lentigny,"La Brillaz",FR
1746,"Prez-vers-Noréaz",Prez,FR
1747,Corserey,Prez,FR
1748,Torny-le-Grand,Torny,FR
1749,Middes,Torny,FR
1752,"Villars-sur-Glâne","Villars-sur-Glâne",FR
1753,Matran,Matran,FR
1754,Avry-sur-Matran,Avry,FR
1754,Corjolens,Avry,FR
1756,Lovens,"La Brillaz",FR
1756,"Onnens FR","La Brillaz",FR
1757,"Noréaz",Prez,FR
1762,Givisiez,Givisiez,FR
1763,Granges-Paccot,Granges-Paccot,FR
1772,Grolley,Grolley,FR
1772,Nierlet-les-Bois,Ponthaux,FR
1772,Ponthaux,Ponthaux,FR
1773,Chandon,Belmont-Broye,FR
1773,"Léchelles",Belmont-Broye,FR
1773,Russy,Belmont-Broye,FR
1774,Cousset,"Montagny (FR)",FR
